Status,Facility,Facility_ward,Facility_constituency,Facility_subcounty,Facility_county,Name,Code,year
fully-functional,Nadanya Dispensary,lyaduywa/izava,sabatia,sabatia,vihiga,Mukingi Community Unit,703403,2014
fully-functional,Kegondi Health Centre,west sabatia,sabatia,sabatia,vihiga,Hamuyundi Community Unit,703415,2012
fully-functional,Kegondi Health Centre,west sabatia,sabatia,sabatia,vihiga,Solongo Community Unit,703416,2014
fully-functional,Givudimbuli Health Centre,wodanga,sabatia,sabatia,vihiga,Gaigedi Community Unit,703417,2014
fully-functional,Givudimbuli Health Centre,wodanga,sabatia,sabatia,vihiga,Gaigedi,703418,2014
fully-functional,KAKUTHA DISPENSARY,mbitini,makueni,makueni,makueni,Kakutha Community Health Unit,703401,2020
fully-functional,Ivinga Nzia Dispensary,mavindini,makueni,makueni,makueni,Ivinga Nzia Community Health Unit,703400,2020
fully-functional,Didewaride Dispensary,witu,lamu west,lamu west,lamu,Didewaride Community Unit,703395,2019
non-functional,Kianjuri Dispensary,ntima west,north imenti,imenti north,meru,Kirugua Community Health Unit,703399,2020
semi-functional,Karii Dispensary,akithii,tigania west,tigania west,meru,Karii Comunity Health Unit,703398,2020
fully-functional,Sinambio Disp,hongwe,lamu west,lamu west,lamu,Bomani Community Unit,703393,2016
fully-functional,Hongwe Catholic Dispensary,hongwe,lamu west,lamu west,lamu,Hongwe Community Unit,703394,2013
fully-functional,Nyachogochogo Dispensary,bassi bogetaorio,bobasi,bobasi,kisii,Rogongo Community Health Unit,703381,2014
fully-functional,Rusinga Dispensary,bobasi/boitangare,bobasi,bobasi,kisii,Rusinga Community Health Unit(Bobasi/Boitangare),703382,2014
fully-functional,Rusinga Dispensary,bobasi/boitangare,bobasi,bobasi,kisii,Riobara Community Health Unit,703383,2014
fully-functional,Omosaria Dispensary,masige west,bobasi,bobasi,kisii,Orogare Community Health Unit,703384,2014
fully-functional,Nyacheki Sub County Hospital,nyacheki,bobasi,bobasi,kisii,Getai Community Health Unit,703385,2014
fully-functional,Gionsaria Health Centre (Nyamache),bassi bogetaorio,bobasi,bobasi,kisii,Riontweka Community Health Unit,703388,2014
fully-functional,Nyacheki Sub County Hospital,nyacheki,bobasi,bobasi,kisii,Keera Community Health Unit,703389,2014
fully-functional,Sugubo Dispensary,nyacheki,bobasi,bobasi,kisii,Riosugo Community Health Unit,703390,2014
fully-functional,Rusinga Dispensary,bobasi/boitangare,bobasi,bobasi,kisii,Nyamagwa Community Health Unit,703392,2014
fully-functional,Motonto Health Centre,bobasi chache,bobasi,bobasi,kisii,Getenga Community Health Unit,703386,2014
fully-functional,Nyansakia Health Centre,sameta/mokwerero,bobasi,bobasi,kisii,Nyagancha Community Health Unit,703391,2014
fully-functional,Nyamokenye Health Centre(Sameta),sameta/mokwerero,bobasi,bobasi,kisii,Rigo Community Health Unit,703387,2014
fully-functional,Emusire Sub County Hospital,central bunyore,emuhaya,emuhaya,vihiga,Emanyinya Community Health Unit,703414,2015
fully-functional,Likindu Dispensary,tambua,hamisi,hamisi,vihiga,Ivola Community Unit,703404,2015
fully-functional,Shiru Health Centre,shiru,hamisi,hamisi,vihiga,Shiru Community Unit,703405,2013
fully-functional,Serem Health Centre,shamakhokho,hamisi,hamisi,vihiga,Kisasi Community Unit,703406,2017
fully-functional,Kaptech Dispensary,muhudu,hamisi,hamisi,vihiga,Mulundu Community Unit,703408,2017
fully-functional,Kaptech Dispensary,muhudu,hamisi,hamisi,vihiga,Muhudu Community Unit,703407,2017
fully-functional,Givole Dispensary,jepkoyai,hamisi,hamisi,vihiga,Givole Community Unit,703409,2017
fully-functional,Kimogoi Dispensary,gisambai,hamisi,hamisi,vihiga,Gamoi Community Unit,703410,2017
fully-functional,Hamisi Sub County Hospital,gisambai,hamisi,hamisi,vihiga,Senende Community Unit,703411,2017
fully-functional,Hamisi Sub County Hospital,gisambai,hamisi,hamisi,vihiga,Gavudunyi Community Unit,703412,2017
fully-functional,Banja Health Centre,banja,hamisi,hamisi,vihiga,Givigo Community Unit,703413,2017
fully-functional,Ebusiratsi Health Centre,north east bunyore,emuhaya,emuhaya,vihiga,Ekaita B Community Health Unit,703338,2017
fully-functional,Essaba Dispensary,central bunyore,emuhaya,emuhaya,vihiga,Essaba B community Health Unit,703340,2016
fully-functional,Emusire Sub County Hospital,central bunyore,emuhaya,emuhaya,vihiga,Ebusubi Community Health Unit,703341,2016
fully-functional,Ipali Health Centre,west bunyore,emuhaya,emuhaya,vihiga,Itumbu B Community Health Unit,703342,2015
fully-functional,Ipali Health Centre,west bunyore,emuhaya,emuhaya,vihiga,Esibakala Community Health Unit,703343,2015
fully-functional,Ipali Health Centre,west bunyore,emuhaya,emuhaya,vihiga,Itumbu A Community Health Unit,703344,2015
fully-functional,Ebukanga Dispensary,west bunyore,emuhaya,emuhaya,vihiga,Esikhuyu Community Health Unit,703345,2016
fully-functional,Ebusiratsi Health Centre,north east bunyore,emuhaya,emuhaya,vihiga,Esibuye Community Health Unit,703346,2016
fully-functional,Ematsuli Dispensary,north east bunyore,emuhaya,emuhaya,vihiga,Ebukhunza Community Health Unit,703347,2014
fully-functional,Esiarambatsi Health Centre,north east bunyore,emuhaya,emuhaya,vihiga,Emurembe Communty Health Unit,703350,2013
fully-functional,Ematsuli Dispensary,north east bunyore,emuhaya,emuhaya,vihiga,Ematsuli Community Health Unit,703351,2014
fully-functional,Ebukhaya Dispensary,central bunyore,emuhaya,emuhaya,vihiga,Ebukhaya Community Health Unit,703352,2015
fully-functional,Ebusiratsi Health Centre,north east bunyore,emuhaya,emuhaya,vihiga,Emuhondo Community Health Unit,703353,2016
fully-functional,Ebukanga Dispensary,west bunyore,emuhaya,emuhaya,vihiga,Emmabwi Community Health Unit,703354,2015
fully-functional,Ebukanga Dispensary,west bunyore,emuhaya,emuhaya,vihiga,Mulunyenya Community Health Unit,703356,2013
fully-functional,Esiarambatsi Health Centre,north east bunyore,emuhaya,emuhaya,vihiga,Ebusiloli Community Health Unit,703358,2015
fully-functional,Essaba Dispensary,central bunyore,emuhaya,emuhaya,vihiga,Essaba A Community Health Unit,703359,2016
fully-functional,Ematsuli Dispensary,north east bunyore,emuhaya,emuhaya,vihiga,Emusutswi Community Health Unit,703360,2016
fully-functional,Esirulo Dispensary,central bunyore,emuhaya,emuhaya,vihiga,Esirulo Health Community Unit,703362,2016
semi-functional,Mandingo Dispensary,kipini west,garsen,garsen,tana river,Mandingo Community Health Unit,703376,2017
semi-functional,Idsowe Dispensary,garsen south,garsen,garsen,tana river,Danisa Community Health Unit,703377,2020
fully-functional,Ebukoolo Dispensary,west bunyore,emuhaya,emuhaya,vihiga,Emukolla Community Health Unit,703363,2014
fully-functional,Ebukoolo Dispensary,west bunyore,emuhaya,emuhaya,vihiga,Embali Community Health Unit,703364,2017
fully-functional,Emusire Sub County Hospital,central bunyore,emuhaya,emuhaya,vihiga,Essunza Community Health Unit,703365,2016
fully-functional,Emusire Sub County Hospital,central bunyore,emuhaya,emuhaya,vihiga,Essunza,703367,2016
semi-functional,Muhamarani Dispensary,mkunumbi,lamu west,lamu west,lamu,Muhamarani Community Unit,703336,2014
fully-functional,Inyali Dispensary,north maragoli,sabatia,sabatia,vihiga,Kivagala community unit,703368,2019
fully-functional,Inyali Dispensary,north maragoli,sabatia,sabatia,vihiga,Kivagala Community Unit,703369,2019
fully-functional,Nadanya Dispensary,lyaduywa/izava,sabatia,sabatia,vihiga,Viyalo Community Unit,703370,2019
fully-functional,Munoywa Dispensary,lyaduywa/izava,sabatia,sabatia,vihiga,Evojo comunity unit,703371,2019
fully-functional,Munoywa Dispensary,lyaduywa/izava,sabatia,sabatia,vihiga,Evojo,703372,2019
fully-functional,Ogando Dispensary,lambwe,mbita,mbita,homa bay,Ogongo B,703379,2020
semi-functional,Bargoni Nys Dispensary,hindi,lamu west,lamu west,lamu,Bargoni Community Unit,703335,2018
semi-functional,Jirwani Dispensary,shamakhokho,hamisi,hamisi,vihiga,Kalwani Community Unit,703374,2019
fully-functional,Tigoi Health Centre,jepkoyai,hamisi,hamisi,vihiga,Tigoi community unit,703375,2019
semi-functional,Kathiranga Dispensary,abothuguchi west,central imenti,imenti central,meru,Kathiranga Community Unit,703322,2020
semi-functional,Mwanika dispensary,abothuguchi west,central imenti,imenti central,meru,Mwanika Community Unit,703323,2020
semi-functional,Katheri Health Centre,abothuguchi west,central imenti,imenti central,meru,Kinjo Community Unit,703324,2020
semi-functional,Gitauga Dispensary,abothuguchi central,central imenti,imenti central,meru,Gitauga Community Unit,703325,2020
semi-functional,Kaguma Dispensary,mwangathia,central imenti,imenti central,meru,Kaguma Community Unit,703329,2020
semi-functional,Gatimbi Health Centre,abothuguchi central,central imenti,imenti central,meru,Gatimbi Community Unit,703328,2020
semi-functional,Makandune Dispensary,kiagu,central imenti,imenti central,meru,Makandune Community Unit,703330,2020
semi-functional,Kiija Dispensary,kiagu,central imenti,imenti central,meru,Kiija Community Unit,703331,2020
semi-functional,Njuthine Dispensary,mwangathia,central imenti,imenti central,meru,Njuthine Community Unit,703333,2020
semi-functional,Igane Health Centre,kiagu,central imenti,imenti central,meru,Igane Community unit,703334,2020
semi-functional,Runywene dispensary,mwangathia,central imenti,imenti central,meru,Runywene community unit,703312,2020
semi-functional,Kagoji Dispensary,abothuguchi west,central imenti,imenti central,meru,Kagoji,703302,2019
fully-functional,Gitugi Dispensary (Nyeri South),mahiga,nyeri south,nyeri south,nyeri,Gitugi community unit,703297,2018
fully-functional,Tudor District Hospital (Mombasa),tudor,mvita,mvita,mombasa,Kaa Chonjo Community Unit,703293,2016
fully-functional,Bubisa Dispensary,turbi,north horr,north horr,marsabit,BUBISA COMMUNITY UNIT 2,703292,2019
fully-functional,Kajiado County Referral Hospital,ildamat,kajiado central,kajiado central,kajiado,Olkiloriti Community Health Unit,703313,2017
