Code,Name,Officialname,Registration_number,Keph level,Facility type,Facility_type_category,Owner,Owner type,Regulatory body,Beds,Cots,Beds and Cots,County,Constituency,Sub county,Ward,Operation status,Open_whole_day,Open_public_holidays,Open_weekends,Open_late_night,Approved,Public visible,Closed,Beds_data_suspect
25720.0,Itete Dispensary,Itete Dispensary,01245,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,8.0,3,11,kakamega,Matungu,Matungu,Koyonzo,Operational,False,False,False,False,True,True,False,False
25722.0,Penda Medical Center - Mathare North,Penda Medical Center - Mathare North,017345,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Private Company,Private Practice,Kenya MPDB,0.0,0,0,nairobi,Ruaraka,Ruaraka,Mathare North,Operational,False,True,True,False,True,True,False,False
,Mukavakava,Mukavakava,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0.0,1,1,kakamega,Malava,Malava,Butali/Chegulo,Operational,False,False,False,False,True,True,False,False
,Nchurra Dispensary,Nchurra Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0.0,0,0,narok,Narok South,Narok South,Melelo,Operational,False,False,False,False,True,True,False,False
,Upland Health Care Center,Upland Health Care Center,,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,,0.0,0,0,kirinyaga,Kirinyaga Central,Kirinyaga Central,Kerugoya,Operational,False,True,True,True,True,True,False,False
,Elfem Medical Clinic,Elfem Medical Clinic,,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0.0,0,0,kirinyaga,Kirinyaga Central,Kirinyaga Central,Kanyekini,Operational,False,False,False,False,True,True,False,False
,Genvis Medical Center,Genvis Medical Center,016692,Level 3,Medical Center,MEDICAL CENTER,Private Practice Lab Technician/Technologist,Private Practice,Kenya MPDB,15.0,1,16,embu,Mbeere North,Mbeere North,Muminji,Operational,True,True,True,True,True,True,False,False
25702.0,Annie Hospital,Annie Hospital,001654,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Private Company,Private Practice,Kenya MPDB,30.0,4,34,trans nzoia,Kiminini,Kiminini,Hospital,Operational,True,True,True,True,True,True,False,False
25719.0,The white cresent Hospital,The white cresent Hospital,,Level 5,Secondary Care Hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,,87.0,4,91,nandi,Chesumei,Chesumei,Chemundu/Kapng'etunyi,Operational,True,True,True,True,True,True,False,False
25699.0,Lutasio Health Centre,Lutasio Health Centre,,Level 3,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Ministry of Health,2.0,2,4,kakamega,Matungu,Matungu,Khalaba,Operational,False,False,False,False,True,True,False,False
,C.M.C,Charis Medical Centre,,Level 3,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Pharmacy & Poisons Board,21.0,0,21,kirinyaga,Mwea,Kirinyaga North/Mwea West,Mutithi,Operational,True,True,True,True,True,True,False,False
25716.0,Kitaor  Dispensary,Kitaor  Dispensary,26121,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0.0,0,0,nandi,Aldai,Aldai,Kemeloi-maraba,Operational,False,False,False,False,True,True,False,False
,PONAH HEALTHCARE MEDICAL CLINIC,PONAH HEALTHCARE MEDICAL CLINIC,17076,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,"Kenya Medical Laboratory, Tech & Technologists Board",5.0,1,6,vihiga,Hamisi,Hamisi,Tambua,Operational,True,True,True,True,True,True,False,False
25698.0,Namasanda Health Centre,Namasanda Health Centre,,Level 2,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Ministry of Health,10.0,2,12,kakamega,Matungu,Matungu,Kholera,Operational,False,False,False,False,True,True,False,False
,Kagumo Vision Medical Centre-Annex,Kagumo Vision Medical Centre-Annex,,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,35.0,0,35,kirinyaga,Kirinyaga Central,Kirinyaga Central,Mutira,Operational,True,True,True,True,True,True,False,False
,Hapsa Medical Clinic,Hapsa Medical Clinic,,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,0.0,0,0,kirinyaga,Gichugu,Kirinyaga East,Kabare,Operational,False,False,False,False,True,True,False,False
,Curafa Kabuku,Heart of Hope,016833,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Kenya MPDB,0.0,0,0,kiambu,Limuru,Limuru,Ngecha Tigoni,Operational,False,False,False,True,True,True,False,False
25701.0,BROOKLYN MEDICAL CENTRE,BROOKLYN MEDICAL CENTRE,015085,Level 3,Medical Center,MEDICAL CENTER,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0.0,0,0,bomet,Bomet Central,Bomet Central,Silibwet Township,Operational,False,True,True,False,True,True,False,False
25704.0,Wellness Health Services,Wellness Health Services,,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Medical Specialist,Private Practice,,0.0,0,0,machakos,Machakos Town,Machakos,Muvuti/Kiima-kimwe,Operational,False,True,True,False,True,True,False,False
25721.0,Penda Medical Centre - Lucky Summer,Penda Medical Centre - Lucky Summer,017194,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Private Company,Private Practice,Ministry of Health,0.0,0,0,nairobi,Ruaraka,Ruaraka,Lucky Summer,Operational,False,True,True,True,True,True,False,False
25697.0,Emaira Dispensary,Emaira Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,,0.0,0,0,kakamega,Butere,Butere,Marama West,Operational,False,False,False,False,True,True,False,False
25690.0,DANYA MEDICAL CENTRE,DANYA MEDICAL CENTRE,017273,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,16.0,4,20,nyamira,West Mugirango,Nyamira,Bonyamatuta,Operational,True,True,True,True,True,True,False,False
25723.0,Mimosa Cottage Hospital,Mimosa Cottage Hospital,,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Nurse / Midwifery,Private Practice,,14.0,0,14,nairobi,Roysambu,Roysambu,Roysambu,Operational,True,True,True,True,True,True,False,False
,PMMMC,PEFA MERCY MISSION MEDICAL CENTRE,,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Private Company,Private Practice,Kenya MPDB,6.0,0,6,nyandarua,Kinangop,Kinangop,Magumu,Operational,True,True,True,True,True,True,False,False
25691.0,Custom Medical Center,Custom Medical Center,016804,Level 3,Medical Center,MEDICAL CENTER,Private Practice - General Practitioner,Private Practice,Kenya MPDB,27.0,3,30,mandera,Mandera East,Mandera East,Township,Operational,True,True,True,True,True,True,False,False
,Alder Medical Centre,Alder Medical Centre,Rc00207/20,Level 2,Medical Center,MEDICAL CENTER,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0.0,0,0,kiambu,Thika Town,Thika Town,Hospital,Operational,False,False,False,False,True,True,False,False
25693.0,Ntharawe Dispensary,Ntharawe Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0.0,0,0,embu,Mbeere South,Mbeere South,Kiambere,Operational,False,False,False,False,True,True,False,False
25694.0,Shichinji Dispensary,Shichinji Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,,4.0,1,5,kakamega,Ikolomani,Ikolomani,Idakho North,Operational,False,False,False,False,True,True,False,False
25692.0,Munasio Dispensary,Munasio Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0.0,0,0,kakamega,Shinyalu,Shinyalu,Isukha West,Operational,False,False,False,False,True,True,False,False
25685.0,Medafya Healthcare Limited,Medafya Healthcare Limited,,Level 3,Medical Center,MEDICAL CENTER,Private Practice - General Practitioner,Private Practice,,0.0,0,0,kisumu,Kisumu Central,Kisumu Central,Shauri Moyo Kaloleni,Operational,False,False,False,False,True,True,False,False
25725.0,Hakika Medical clinic,Hakika Medical clinic,,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0.0,0,0,nairobi,Embakasi North,Embakasi North,Kariobangi North,Operational,False,True,True,False,True,True,False,False
25688.0,Edris Premier Hospital Limited,Edris Premier Hospital Limited,016621,Level 3,Nursing And Maternity Home,NURSING HOME,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,25.0,0,25,nairobi,Kamukunji,Kamukunji,Airbase,Operational,True,True,True,True,True,True,False,False
25696.0,Venus Medical Center,Venus Medical Center,,Level 2,Medical Center,MEDICAL CENTER,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,0.0,0,0,kirinyaga,Gichugu,Kirinyaga East,Njukiine,Operational,False,False,False,False,True,True,False,False
25675.0,Neema Optician Eye Clinic,Neema Optician Eye Clinic,,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Medical Specialist,Private Practice,,0.0,0,0,nyeri,Nyeri Town,Nyeri Central,Rware,Operational,False,False,True,False,True,True,False,False
25676.0,Garlands Medical Center,Garlands Medical Center,A4225,Level 3,Medical Center,MEDICAL CENTER,Private Practice- Pharmacist,Private Practice,Kenya MPDB,0.0,0,0,nyeri,Nyeri Town,Nyeri Central,Ruring'u,Operational,True,True,True,True,True,True,False,False
25672.0,Kamalel Health Centre,Kamalel Health Centre,,Level 3,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Kenya MPDB,30.0,0,30,uasin gishu,Kesses,Kesses,Racecourse,Operational,True,True,True,True,True,True,False,False
