County,Population,Infrastructure_score,Predicted,Residual,Direction
baringo,666763,0.208,0.2081132895585477,-0.00011328955854769673,Overestimated
bomet,875689,0.173,0.17881530476795882,-0.005815304767958829,Overestimated
bungoma,1670570,0.317,0.31762760146184654,-0.0006276014618465386,Overestimated
busia,893681,0.455,0.451479166947958,0.0035208330520420383,Underestimated
elgeyo-marakwet,454480,0.222,0.22225766459479113,-0.0002576645947911238,Overestimated
embu,608599,0.568,0.5619501037299354,0.006049896270064581,Underestimated
garissa,841353,0.349,0.34863065698753315,0.0003693430124668273,Underestimated
homa bay,1131950,0.445,0.44254480651992323,0.0024551934800767783,Underestimated
isiolo,268002,0.293,0.293229572697266,-0.0002295726972660339,Overestimated
kajiado,1117840,0.349,0.3506136464719982,-0.0016136464719982424,Overestimated
kakamega,1867579,0.289,0.29074364896941307,-0.0017436489694130919,Overestimated
kericho,901777,0.346,0.34160233199470985,0.004397668005290123,Underestimated
kiambu,2417735,0.347,0.3494570445580905,-0.0024570445580905376,Overestimated
kilifi,1453787,0.282,0.2843618880034833,-0.0023618880034833034,Overestimated
kirinyaga,610411,0.503,0.5036244494529081,-0.0006244494529080713,Overestimated
kisii,1266860,0.537,0.528340804672863,0.008659195327136993,Underestimated
kisumu,1155574,0.492,0.4875622549319924,0.0044377450680075925,Underestimated
kitui,1136187,0.219,0.2240930498815055,-0.005093049881505496,Overestimated
kwale,866820,0.264,0.26556394708455167,-0.0015639470845516534,Overestimated
laikipia,518560,0.418,0.4178112011630548,0.00018879883694516986,Underestimated
lamu,143920,0.301,0.3011425245830566,-0.00014252458305663573,Overestimated
machakos,1421932,0.196,0.20275774457690293,-0.006757744576902924,Overestimated
makueni,987653,0.208,0.2136134467416053,-0.005613446741605299,Overestimated
mandera,867457,0.441,0.43781152555931224,0.0031884744406877608,Underestimated
marsabit,459785,0.267,0.2690510128849332,-0.002051012884933201,Overestimated
meru,1545714,0.249,0.2551259825116151,-0.006125982511615113,Overestimated
migori,1116436,0.555,0.5482042760478771,0.006795723952122912,Underestimated
mombasa,1208333,0.433,0.43214981285141,0.0008501871485899759,Underestimated
murang'a,1056640,0.27,0.2720219116090231,-0.002021911609023097,Overestimated
nairobi,4397073,0.49,0.48306705412505185,0.006932945874948138,Underestimated
nakuru,2162202,0.33,0.3323324425084198,-0.0023324425084197964,Overestimated
nandi,885711,0.229,0.22832548398520952,0.0006745160147904883,Underestimated
narok,1157873,0.202,0.2023518744043784,-0.0003518744043783939,Overestimated
nyamira,605576,0.453,0.45065260059327855,0.002347399406721462,Underestimated
nyandarua,638289,0.259,0.2622757834490156,-0.003275783449015579,Overestimated
nyeri,759164,0.543,0.5424519263390373,0.0005480736609627668,Underestimated
samburu,310327,0.496,0.4910778073681943,0.004922192631805711,Underestimated
siaya,993183,0.384,0.38283807889662064,0.0011619211033793708,Underestimated
taita taveta,340671,0.298,0.3004849686961739,-0.002484968696173928,Overestimated
tana river,315943,0.274,0.2763388638340375,-0.0023388638340374746,Overestimated
tharaka-nithi,393177,0.603,0.5943859895206598,0.008614010479340184,Underestimated
trans nzoia,1030206,0.197,0.20140155531619622,-0.0044015553161962095,Overestimated
turkana,926975,0.323,0.32157539147340847,0.001424608526591542,Underestimated
uasin gishu,1163186,0.305,0.305286397132615,-0.00028639713261502386,Overestimated
vihiga,590013,0.395,0.395392782025456,-0.0003927820254560066,Overestimated
wajir,781263,0.228,0.22963222219419116,-0.0016322221941911519,Overestimated
west pokot,621241,0.147,0.14778106837100846,-0.0007810683710084698,Overestimated
