Code,Name,Officialname,Registration_number,Keph level,Facility type,Facility_type_category,Owner,Owner type,Regulatory body,Beds,Cots,Beds and Cots,County,Constituency,Sub county,Ward,Operation status,Open_whole_day,Open_public_holidays,Open_weekends,Open_late_night,Approved,Public visible,Closed,Is_registered,Has_code
25720.0,Itete Dispensary,Itete Dispensary,01245,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,8,3,11,kakamega,Matungu,Matungu,Koyonzo,Operational,False,False,False,False,True,True,False,True,True
,Mukavakava,Mukavakava,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,1,1,kakamega,Malava,Malava,Butali/Chegulo,Operational,False,False,False,False,True,True,False,False,False
,Nchurra Dispensary,Nchurra Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,narok,Narok South,Narok South,Melelo,Operational,False,False,False,False,True,True,False,False,False
25716.0,Kitaor  Dispensary,Kitaor  Dispensary,26121,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,nandi,Aldai,Aldai,Kemeloi-maraba,Operational,False,False,False,False,True,True,False,True,True
25697.0,Emaira Dispensary,Emaira Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,,0,0,0,kakamega,Butere,Butere,Marama West,Operational,False,False,False,False,True,True,False,False,True
25693.0,Ntharawe Dispensary,Ntharawe Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,embu,Mbeere South,Mbeere South,Kiambere,Operational,False,False,False,False,True,True,False,False,True
25694.0,Shichinji Dispensary,Shichinji Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,,4,1,5,kakamega,Ikolomani,Ikolomani,Idakho North,Operational,False,False,False,False,True,True,False,False,True
25692.0,Munasio Dispensary,Munasio Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,kakamega,Shinyalu,Shinyalu,Isukha West,Operational,False,False,False,False,True,True,False,False,True
25673.0,Kibotany Dispensary,Kibotany Dispensary,3655,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,baringo,Mogotio,Mogotio,Kisanana,Operational,False,False,False,False,True,True,False,True,True
25679.0,Muye Wa Kaye,Muye Wa Kaye,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,kilifi,Magarini,Magarini,Adu,Operational,False,False,False,False,True,True,False,False,True
25626.0,Mbudzi Community Health Centre,Mbudzi Community Health Centre,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,kilifi,Ganze,Ganze,Jaribuni,Operational,False,False,False,False,True,True,False,False,True
,Kichawa Health Center,Kichawa Health Center,0000,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,homa bay,Karachuonyo,Karachuonyo,Kanyaluo,Operational,False,False,False,False,True,True,False,True,False
,Ntalabany Dispensary,Ntalabany Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,laikipia,Laikipia North,Laikipia North,Mugogodo East,Operational,False,False,False,False,True,True,False,False,False
25635.0,Gatuune Dispensary,Gatuune Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,meru,Central Imenti,Imenti Central,Mwangathia,Operational,False,False,False,False,True,True,False,False,True
25597.0,Bombangi Dispensary,Bombangi Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,,12,0,12,nyamira,West Mugirango,Nyamira,Township,Operational,False,False,False,False,True,True,False,False,True
25612.0,MIKINDUNI DISPENSARY,MIKINDUNI DISPENSARY,159639,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Nursing Council of Kenya (Private Practice),2,0,2,tana river,Galole,Galole,Mikinduni,Operational,False,False,False,False,True,True,False,True,True
25596.0,Nyamanga Dispensary(Ndhiwa),Nyamanga Dispensary(Ndhiwa),,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,2,0,2,homa bay,Ndhiwa,Ndhiwa,Kanyamwa Kosewe,Operational,False,False,False,False,True,True,False,False,True
,Kimoriot Dispensary,Kimoriot Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Pharmacy & Poisons Board,3,2,5,baringo,Baringo South,Marigat,Mochongoi,Operational,False,False,False,False,True,True,False,False,False
25580.0,Tuwo Dipensary,Tuwo Dipensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Pharmacy & Poisons Board,0,0,0,baringo,Tiaty,Tiaty East,Loiyamorok,Operational,False,False,False,False,True,True,False,False,True
